Country,Province,City,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated
Brasil,AP,Estado,2020-04-08,107.0,95.0,14.0,14.0,2.0,4.0
Brasil,AP,Estado,2020-04-09,110.0,91.0,14.0,15.0,3.0,3.0
Brasil,AP,Estado,2020-04-10,113.0,88.0,14.0,15.0,3.0,3.0
Brasil,AP,Estado,2020-04-11,117.0,86.0,14.0,16.0,3.0,3.0
Brasil,AP,Estado,2020-04-12,121.0,84.0,14.0,16.0,3.0,3.0
Brasil,AP,Estado,2020-04-13,126.0,84.0,14.0,17.0,4.0,3.0
Brasil,AP,Estado,2020-04-14,133.0,85.0,14.0,18.0,4.0,3.0
Brasil,AP,Estado,2020-04-15,141.0,87.0,15.0,19.0,4.0,3.0
Brasil,AP,Estado,2020-04-16,151.0,91.0,15.0,21.0,4.0,3.0
Brasil,AP,Estado,2020-04-17,163.0,97.0,16.0,23.0,4.0,4.0
Brasil,AP,Estado,2020-04-18,178.0,105.0,18.0,25.0,4.0,4.0
Brasil,AP,Estado,2020-04-19,195.0,115.0,20.0,28.0,4.0,4.0
Brasil,AP,Estado,2020-04-20,216.0,128.0,22.0,31.0,5.0,5.0
Brasil,AP,Estado,2020-04-21,242.0,144.0,24.0,34.0,5.0,5.0
Brasil,AP,Estado,2020-04-22,271.0,164.0,28.0,39.0,5.0,6.0
Brasil,AP,Estado,2020-04-23,306.0,186.0,31.0,44.0,6.0,7.0
Brasil,AP,Estado,2020-04-24,346.0,213.0,36.0,50.0,6.0,8.0
Brasil,AP,Estado,2020-04-25,393.0,244.0,41.0,57.0,7.0,9.0
Brasil,AP,Estado,2020-04-26,447.0,281.0,47.0,65.0,8.0,10.0
Brasil,AP,Estado,2020-04-27,508.0,322.0,54.0,74.0,8.0,12.0
Brasil,AP,Estado,2020-04-28,579.0,369.0,62.0,85.0,9.0,14.0
Brasil,AP,Estado,2020-04-29,658.0,422.0,70.0,97.0,10.0,15.0
Brasil,AP,Estado,2020-04-30,748.0,481.0,80.0,110.0,11.0,18.0
Brasil,AP,Estado,2020-05-01,848.0,547.0,91.0,125.0,13.0,20.0
